kon,koff,t,complex
2.0,0.2,6.0,0.7296880222980073
2.0,0.2,8.0,0.7298309149422568
2.0,0.2,10.0,0.7298418862702414
2.0,0.2,12.0,0.7298439979476814
2.0,0.2,14.0,0.7298485188119361
2.0,0.2,16.0,0.7298384845550991
2.0,0.2,18.0,0.729873732101026
2.0,0.2,20.0,0.7298244643653922
2.0,0.2,22.0,0.7298905878592806
2.0,0.2,24.0,0.729963484354804
2.0,0.2,26.0,0.7296313901854232
2.0,0.2,28.0,0.7298905010668564
2.0,0.2,30.0,0.7299405591580772
2.0,0.2,32.0,0.7298212791531515
2.0,0.2,34.0,0.7297479622569972
2.0,0.2,36.0,0.7298475483208259
2.0,0.2,38.0,0.7299088736581809
2.0,0.2,40.0,0.7298378681368154
2.0,0.2,42.0,0.7297714236788271
2.0,0.2,44.0,0.7298867626625148
2.0,0.2,46.0,0.7299068993549286
